PRODUCT_CODE,ITEM,QUANTITY,OTHER,UNIT_PRICE,PRICE,EXPENSE_ROW,PAGENUMBER,INVOICE_ID,FILE_NAME,NAME,DATE,TOTAL
AA200695,"12X500ml Al Bayan shrink
6298044001303 /",15,6,16,126.00,"120 5% 6 126.00
12X500ml Al Bayan shrink 15 Case 16 50% 120.00
AA200695 6298044001303 /",1,9120736872,Agthia (13).pdf,Al Asima Grocery Branch,15.03.2023,126.00
AA200695,"12X500ml Al Bayan shrink
/",2,0,8,0.00,"0 5% 0 0.00
12X500ml Al Bayan shrink 2 Pack 8 0% 16.00
AA200695 6298044001303 /",1,9120736872,Agthia (13).pdf,Al Asima Grocery Branch,15.03.2023,126.00
AA3000421,"6X1.5L AA Bot Water SHK
Travel Promo",3.500,0,18.25,0.00,"6X1.5L AA Bot Water SHK
AA3000421 Travel Promo 3.500 Case 18.25 0% 63.88 0 5% 0 0.00",1,9120719578,Agthia (26).pdf,Silver Life Mini Mart L.L.C.,06.02.2023,162.89
AA3000417,12X500ml AA Bot Water SHK,4,3.65,18.25,76.65,"12X500ml AA Bot Water SHK
AA3000417 Travel Promo 4 Case 18.25 0% 0,00 73 5% 3.65 76.65",1,9120719578,Agthia (26).pdf,Silver Life Mini Mart L.L.C.,06.02.2023,162.89
AA3000421,"6X1.5L AA Bot Water SHK
Travel Promo",4.500,4.11,18.25,"86,24","6X1.5L AA Bot Water SHK
AA3000421 Travel Promo 4.500 Case 18.25 0% 0.00 82.13 5% 4.11 86,24",1,9120719578,Agthia (26).pdf,Silver Life Mini Mart L.L.C.,06.02.2023,162.89
AA3000417,"12X500ml AA Bot Water SHK
Travel Promo",4,0,18.25,0.00,"12X500ml AA Bot Water SHK
AA3000417 Travel Promo 4 Case 18.25 0% 73.00 0 5% 0 0.00",1,9120719578,Agthia (26).pdf,Silver Life Mini Mart L.L.C.,06.02.2023,162.89
AA200552,"12X500ml Al Ain Shrink
6291105810074 /",3,"2,74",18.25,57.49,"12X500ml Al Ain Shrink
AA200552 3 Case 18.25 0% 0.00 54.75 5% 2,74 57.49
6291105810074 /",1,9120728494,Agthia (29).pdf,Al Shmadan Grocery,25.02.2023,232.59
AA200552,"12X500ml Al Ain Shrink
6291105810074 /",2,0,"18,25","0,00","12X500ml Al Ain Shrink
AA200552 2 Case 18,25 0% 36.50 0 5% 0 0,00
6291105810074 /",1,9120728494,Agthia (29).pdf,Al Shmadan Grocery,25.02.2023,232.59
AA200475,"4X5 Ltr. Bot. Brown Carton New
6291100850150 /",5,4,16,84.00,"4X5 Ltr. Bot. Brown Carton New
AA200475 5 Case 16 0% 0.00 80 5% 4 84.00
6291100850150 /",1,9120728494,Agthia (29).pdf,Al Shmadan Grocery,25.02.2023,232.59
AA200475,"4X5 Ltr. Bot. Brown Carton New
6291100850150 /",2,0,16,0.00,"4X5 Ltr. Bot. Brown Carton New
AA200475 2 Case 16 0% 32.00 0 5% 0 0.00
6291100850150 /",1,9120728494,Agthia (29).pdf,Al Shmadan Grocery,25.02.2023,232.59
AA3000421,"6X1.5L AA Bot Water SHK
Travel Promo",2,1.83,18.25,38.33,"6X1.5L AA Bot Water SHK
AA3000421 Travel Promo 2 Case 18.25 0% 0,00 36.5 5% 1.83 38.33",1,9120728494,Agthia (29).pdf,Al Shmadan Grocery,25.02.2023,232.59
AA3000421,"6X1.5L AA Bot Water SHK
Travel Promo",3 Case,0,"18,25",0.00,"6X1.5L AA Bot Water SHK
AA3000421 Travel Promo 3 Case 18,25 0% 54.75 0 5% 0 0.00",1,9120728494,Agthia (29).pdf,Al Shmadan Grocery,25.02.2023,232.59
GM250129,"Flour No.1 FFS B2C- 20x1kg
Bag
6291101033439",10 Bag,2.51,"5,03",52.77,"Flour No.1 FFS B2C- 20x1kg
GM250129 Bag 10 Bag 5,03 0% 0,00 50.26 5% 2.51 52.77
6291101033439",1,9120728494,Agthia (29).pdf,Al Shmadan Grocery,25.02.2023,232.59
AA200478,"24x500mL Carton REGULAR
6291100850129 /",24,0,18.25,0.00,"24x500mL Carton REGULAR
AA200478 24 Case 18.25 0% 438,00 0 5% 0 0.00
6291100850129 /",1,9120737549,Agthia 1 (14).pdf,Udinoor Grocery,30.03.2023,six hundred dirham 47 / 100 only
AA200478,"24x500mL Carton REGULAR
6291100850129 /",25,22.8,18.25,479.05,"24x500mL Carton REGULAR
AA200478 25 Case 18.25 0% 0,00 456.25 5% 22.8 479.05
6291100850129 /",1,9120737549,Agthia 1 (14).pdf,Udinoor Grocery,30.03.2023,six hundred dirham 47 / 100 only
AA200483,"24x330ML Carton Regular
6291100850112 /",6,5.33,17.75,111.83,"24x330ML Carton Regular
AA200483 6 Case 17.75 0% 0,00 106,5 5% 5.33 111.83
6291100850112 /",1,9120737549,Agthia 1 (14).pdf,Udinoor Grocery,30.03.2023,six hundred dirham 47 / 100 only
AA200482,"12x1.5 AA Ltr Bot.Carton New
Log
6291100850143 /",10,0,18.25,0.00,"12x1.5 AA Ltr Bot.Carton New
AA200482 Log 10 Case 18.25 0% 182.50 0 5% 0 0.00
6291100850143 /",1,9120737549,Agthia 1 (14).pdf,Udinoor Grocery,30.03.2023,six hundred dirham 47 / 100 only
AA200552,"12X500ml Al Ain Shrink
6291105810074 /",1,"0,46",9.13,9.59,"12X500ml Al Ain Shrink
AA200552 1 Pack 9.13 0% 0.00 9.13 5% 0,46 9.59
6291105810074 /",1,9120737549,Agthia 1 (14).pdf,Udinoor Grocery,30.03.2023,six hundred dirham 47 / 100 only
AA200478,"24x500mL Carton REGULAR
6291100850129 /",17,0,18.25,"0,00","24x500mL Carton REGULAR
AA200478 17 Case 18.25 0% 310,25 0 5% 0 0,00
6291100850129 /",2,9120737549,Agthia 1 (14).pdf,Udinoor Grocery,30.03.2023,301.35
AA200478,"24x500mL Carton REGULAR
6291100850129 /",6,"5,48",18.25,114.98,"24x500mL Carton REGULAR
AA200478 6 Case 18.25 0% 0,00 109,5 5% 5,48 114.98
6291100850129 /",2,9120737549,Agthia 1 (14).pdf,Udinoor Grocery,30.03.2023,301.35
